A1,A2,A3,A4,A5,A6,A7,A8,A9
10960,13317,5489,5519,24277,11008,16449,18836,35285
11244,13161,5848,4926,24405,10774,17092,18087,35179
13660,10692,5309,5403,24352,10712,18969,16095,35064
14185,9303,6055,4888,23488,10943,20240,14191,34431
12207,12085,5499,5246,24292,10745,17706,17331,35037
11307,13082,6102,4504,24389,10606,17409,17586,34995
9742,14066,5187,5587,23808,10774,14929,19653,34582
11192,13210,6448,4115,24402,10563,17640,17325,34965
12421,11978,5692,5011,24399,10703,18113,16989,35102
12155,12128,5481,5407,24283,10888,17636,17535,35171
12822,11545,4956,5889,24367,10845,17778,17434,35212
12034,12179,5869,5070,24213,10939,17903,17249,35152
12442,11750,5640,5272,24192,10912,18082,17022,35104
12294,11853,5481,5517,24147,10998,17775,17370,35145
12182,11849,5881,5139,24031,11020,18063,16988,35051
12182,11849,5879,5139,24031,11018,18061,16988,35049
12265,11881,5490,5507,24146,10997,17755,17388,35143
12453,11736,5640,5275,24189,10915,18093,17011,35104
12029,11982,5822,5312,24011,11134,17851,17294,35145
12794,11393,4993,6021,24187,11014,17787,17414,35201
12264,11882,5513,5501,24146,11014,17777,17383,35160
12565,11674,5499,5340,24239,10839,18064,17014,35078
11016,13234,6110,4584,24250,10694,17126,17818,34944
9552,14166,5156,5688,23718,10844,14708,19854,34562
11250,12855,5742,5116,24105,10858,16992,17971,34963
12243,11745,5567,5451,23988,11018,17810,17196,35006
13964,9104,6276,5062,23068,11338,20240,14166,34406
13643,10459,5194,5736,24102,10930,18837,16195,35032
11454,12681,5516,5502,24135,11018,16970,18183,35153
11728,12445,5527,5554,24173,11081,17255,17999,35254
11729,12444,5527,5554,24173,11081,17256,17998,35254
11454,12681,5516,5502,24135,11018,16970,18183,35153
13691,10412,5166,5764,24103,10930,18857,16176,35033
13966,9109,6270,5056,23075,11326,20236,14165,34401
12301,11716,5527,5465,24017,10992,17828,17181,35009
11321,12796,5738,5105,24117,10843,17059,17901,34960
9608,14001,5150,5800,23609,10950,14758,19801,34559
11144,12972,6106,4713,24116,10819,17250,17685,34935
12649,11399,5689,5329,24048,11018,18338,16728,35066
12465,11654,5541,5492,24119,11033,18006,17146,35152
13026,11145,5010,6014,24171,11024,18036,17159,35195
12273,11717,5794,5349,23990,11143,18067,17066,35133
12581,11534,5770,5216,24115,10986,18351,16750,35101
12471,11595,5544,5526,24066,11070,18015,17121,35136
12312,11656,6125,4961,23968,11086,18437,16617,35054
12312,11656,6125,4961,23968,11086,18437,16617,35054
12452,11629,5551,5507,24081,11058,18003,17136,35139
12707,11453,5663,5275,24160,10938,18370,16728,35098
12124,11957,5716,5342,24081,11058,17840,17299,35139
12838,11362,4979,6020,24200,10999,17817,17382,35199
12252,11880,5524,5502,24132,11026,17776,17382,35158
12565,11674,5499,5340,24239,10839,18064,17014,35078
11081,13182,5894,4788,24263,10682,16975,17970,34945
9595,14181,5113,5674,23776,10787,14708,19855,34563
11230,13009,5613,5110,24239,10723,16843,18119,34962
12264,11913,5434,5399,24177,10833,17698,17312,35010
14067,9208,6143,4993,23275,11136,20210,14201,34411
13700,10556,5080,5701,24256,10781,18780,16257,35037
11497,12795,5406,5460,24292,10866,16903,18255,35158
11761,12570,5413,5515,24331,10928,17174,18085,35259
11578,12605,5495,5573,24183,11068,17073,18178,35251
11453,12673,5481,5542,24126,11023,16934,18215,35149
13675,10430,5058,5867,24105,10925,18733,16297,35030
13916,9133,6265,5083,23049,11348,20181,14216,34397
12284,11741,5489,5489,24025,10978,17773,17230,35003
11319,12799,5738,5106,24118,10844,17057,17905,34962
9664,13976,5181,5733,23640,10914,14845,19709,34554
11215,12911,6045,4765,24126,10810,17260,17676,34936
12650,11398,5689,5329,24048,11018,18339,16727,35066
12473,11660,5516,5502,24133,11018,17989,17162,35151
13024,11166,4995,6009,24190,11004,18019,17175,35194
12286,11710,5777,5359,23996,11136,18063,17069,35132
12442,11750,5640,5272,24192,10912,18082,17022,35104
12294,11853,5481,5517,24147,10998,17775,17370,35145
12182,11849,5881,5139,24031,11020,18063,16988,35051
12182,11849,5879,5139,24031,11018,18061,16988,35049
12265,11881,5490,5507,24146,10997,17755,17388,35143
12453,11736,5640,5275,24189,10915,18093,17011,35104
12029,11982,5822,5312,24011,11134,17851,17294,35145
12794,11393,4993,6021,24187,11014,17787,17414,35201
12264,11882,5513,5501,24146,11014,17777,17383,35160
12565,11674,5499,5340,24239,10839,18064,17014,35078
11016,13234,6110,4584,24250,10694,17126,17818,34944
9552,14166,5156,5688,23718,10844,14708,19854,34562
11250,12855,5742,5116,24105,10858,16992,17971,34963
12243,11745,5567,5451,23988,11018,17810,17196,35006
13964,9104,6276,5062,23068,11338,20240,14166,34406
13643,10459,5194,5736,24102,10930,18837,16195,35032
11454,12681,5516,5502,24135,11018,16970,18183,35153
11728,12445,5527,5554,24173,11081,17255,17999,35254
11729,12444,5527,5554,24173,11081,17256,17998,35254
11454,12681,5516,5502,24135,11018,16970,18183,35153
13691,10412,5166,5764,24103,10930,18857,16176,35033
13966,9109,6270,5056,23075,11326,20236,14165,34401
12301,11716,5527,5465,24017,10992,17828,17181,35009
11321,12796,5738,5105,24117,10843,17059,17901,34960
9608,14001,5150,5800,23609,10950,14758,19801,34559
11144,12972,6106,4713,24116,10819,17250,17685,34935
12649,11399,5689,5329,24048,11018,18338,16728,35066
12465,11654,5541,5492,24119,11033,18006,17146,35152
13026,11145,5010,6014,24171,11024,18036,17159,35195
12273,11717,5794,5349,23990,11143,18067,17066,35133
12581,11534,5770,5216,24115,10986,18351,16750,35101
12471,11595,5544,5526,24066,11070,18015,17121,35136
12312,11656,6125,4961,23968,11086,18437,16617,35054
12312,11656,6125,4961,23968,11086,18437,16617,35054
12452,11629,5551,5507,24081,11058,18003,17136,35139
12707,11453,5663,5275,24160,10938,18370,16728,35098
12124,11957,5716,5342,24081,11058,17840,17299,35139
12838,11362,4979,6020,24200,10999,17817,17382,35199
12252,11880,5524,5502,24132,11026,17776,17382,35158
12565,11674,5499,5340,24239,10839,18064,17014,35078
11081,13182,5894,4788,24263,10682,16975,17970,34945
9595,14181,5113,5674,23776,10787,14708,19855,34563
11230,13009,5613,5110,24239,10723,16843,18119,34962
12264,11913,5434,5399,24177,10833,17698,17312,35010
14067,9208,6143,4993,23275,11136,20210,14201,34411
13700,10556,5080,5701,24256,10781,18780,16257,35037
11497,12795,5406,5460,24292,10866,16903,18255,35158
11761,12570,5413,5515,24331,10928,17174,18085,35259
11578,12605,5495,5573,24183,11068,17073,18178,35251
11453,12673,5481,5542,24126,11023,16934,18215,35149
13675,10430,5058,5867,24105,10925,18733,16297,35030
13916,9133,6265,5083,23049,11348,20181,14216,34397
12284,11741,5489,5489,24025,10978,17773,17230,35003
11319,12799,5738,5106,24118,10844,17057,17905,34962
9664,13976,5181,5733,23640,10914,14845,19709,34554
11215,12911,6045,4765,24126,10810,17260,17676,34936
12650,11398,5689,5329,24048,11018,18339,16727,35066
12473,11660,5516,5502,24133,11018,17989,17162,35151
13024,11166,4995,6009,24190,11004,18019,17175,35194
12286,11710,5777,5359,23996,11136,18063,17069,35132
12442,11750,5640,5272,24192,10912,18082,17022,35104
12294,11853,5481,5517,24147,10998,17775,17370,35145
12182,11849,5881,5139,24031,11020,18063,16988,35051
12182,11849,5879,5139,24031,11018,18061,16988,35049
12265,11881,5490,5507,24146,10997,17755,17388,35143
12453,11736,5640,5275,24189,10915,18093,17011,35104
12029,11982,5822,5312,24011,11134,17851,17294,35145
12794,11393,4993,6021,24187,11014,17787,17414,35201
12264,11882,5513,5501,24146,11014,17777,17383,35160
12565,11674,5499,5340,24239,10839,18064,17014,35078
11016,13234,6110,4584,24250,10694,17126,17818,34944
9552,14166,5156,5688,23718,10844,14708,19854,34562
11250,12855,5742,5116,24105,10858,16992,17971,34963
12243,11745,5567,5451,23988,11018,17810,17196,35006
13964,9104,6276,5062,23068,11338,20240,14166,34406
13643,10459,5194,5736,24102,10930,18837,16195,35032
11454,12681,5516,5502,24135,11018,16970,18183,35153
11728,12445,5527,5554,24173,11081,17255,17999,35254
